tim_id,datasheet,mfr_part_number,mfr,price_thb,product_type,dimensions_mm,category,width_mm,length_mm,weight_g,useable_temp_range_c,thermal_conductivity_wmk,shape,outline_mm,thickness_mm,max_temp_c,min_temp_c
,http://www.chipquik.com/datasheets/TC3-1G.pdf,TC3-1G,Chip Quik Inc.,193.38,Silicone Compound,1 gram Syringe,,,,,-40°F ~ 302°F (-40°C ~ 150°C),8.50,,,,,
,http://www.chipquik.com/datasheets/TC1-10G.pdf,TC1-10G,Chip Quik Inc.,290.88,Silicone Compound,10 gram Syringe,,,,,-40°F ~ 302°F (-40°C ~ 150°C),0.67,,,,,
,https://info.boydcorp.com/hubfs/Thermal/Air-Cooling/Boyd-Board-Level-Heatsinks-Catalog.pdf,250G,"Boyd Laconia, LLC",451.1,Silicone Compound,2 oz Tube,,,,,-40°F ~ 399°F (-40°C ~ 204°C),0.76,,,,,
,https://www.tglobaltechnology.com/wp-content/uploads/2019/07/TG-N909_UK.pdf,TG-N909-30,t-Global Technology,481.65,Non-Silicone Grease,30 gram Container,,,,,-40°F ~ 392°F (-40°C ~ 200°C),9.00,,,,,
,https://www.chemtronics.com/content/msds/TDS_CW7270.pdf,CW7270,Chemtronics,520.33,Non-Silicone Grease,7 gram Syringe,,,,,-99.4°F ~ 392°F (-73°C ~ 200°C),0.71,,,,,
,https://www.chemtronics.com/content/msds/TDS_CW7250.pdf,CW7250,Chemtronics,729.95,Non-Silicone Grease,3.4 gram Syringe,,,,,-99.4°F ~ 392°F (-73°C ~ 200°C),1.85,,,,,
,https://www.mgchemicals.com/downloads/tds/tds-9460TC.pdf,9460TC-3ML,MG Chemicals,832.98,Epoxy Adhesive,3 ml Syringe,,,,,-85°F ~ 302°F (-65°C ~ 150°C),0.80,,,,,
,https://www.chemtronics.com/content/msds/TDS_CT40.pdf,CT40-5,Chemtronics,1118.33,Silicone Compound,5 oz Tube,,,,,5°F ~ 392°F (-15°C ~ 200°C),0.63,,,,,
,https://datasheets.tdx.henkel.com/BERGQUIST-GAP-FILLER-TGF-1500-en_GL.pdf,GF1500-00-60-50CC,Bergquist,1129.05,"Liquid Gap Filler, 2 Part",50cc Cartridge,,,,,-76°F ~ 392°F (-60°C ~ 200°C),1.80,,,,,
,https://www.mgchemicals.com/downloads/tds/tds-8329tcs-2parts.pdf,8329TCS-6ML,MG Chemicals,1144.65,"Epoxy, 2 Part",6 ml Syringe,,,,,-40°F ~ 302°F (-40°C ~ 150°C),1.40,,,,,
,http://www.chipquik.com/datasheets/TC3-10G.pdf,TC3-10G,Chip Quik Inc.,1233.38,Silicone Compound,5cc Syringe,,,,,-40°F ~ 302°F (-40°C ~ 150°C),8.50,,,,,
,https://www.mgchemicals.com/downloads/tds/tds-8329tfs-2parts.pdf,8329TFS-25ML,MG Chemicals,1625.98,"Epoxy, 2 Part",25 ml Syringe,,,,,-40°F ~ 302°F (-40°C ~ 150°C),1.20,,,,,
,https://datasheets.tdx.henkel.com/BERGQUIST-GAP-FILLER-TGF-3600-en_GL.pdf,GF3500S35-00-60-50CC,Bergquist,1753.7,"Liquid Gap Filler, 2 Part",50cc Cartridge,,,,,-76°F ~ 392°F (-60°C ~ 200°C),3.60,,,,,
,http://www.chipquik.com/datasheets/TC4-20G.pdf,TC4-20G,Chip Quik Inc.,1799.2,"Thermal Compound, Liquid Metal",20 gram Syringe,,,,,-40°F ~ 302°F (-40°C ~ 150°C),79.00,,,,,
,//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/2589/Parker%20Chomerics%20THERM-A-GAP%20GEL%2075%20CHODS1025.pdf,65-00-GEL75-0010,Parker Chomerics,1982.83,Silicone Gel,10cc Syringe,,,,,-67°F ~ 392°F (-55°C ~ 200°C),7.50,,,,,
,https://www.chemtronics.com/content/msds/TDS_CW7100.pdf,CW7100,Chemtronics,2210.65,Silicone Grease,6.5 gram Syringe,,,,,-70°F ~ 485°F (-57°C ~ 252°C),5.60,,,,,
,https://www.mgchemicals.com/downloads/tds/tds-8329tfs-2parts.pdf,8329TFS-50ML,MG Chemicals,2318.88,"Epoxy, 2 Part",45 ml Cartridge,,,,,-40°F ~ 302°F (-40°C ~ 150°C),1.20,,,,,
,https://www.mgchemicals.com/downloads/tds/tds-8329tcs-2parts.pdf,8329TCS-50ML,MG Chemicals,2411.83,"Epoxy, 2 Part",50 ml Jar,,,,,-40°F ~ 302°F (-40°C ~ 150°C),1.40,,,,,
,//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/2589/Parker%20Chomerics%20THERM-A-GAP%20GEL%2075%20CHODS1025.pdf,65-02-GEL75-0030,Parker Chomerics,2652.33,Silicone Gel,30cc Syringe,,,,,-67°F ~ 392°F (-55°C ~ 200°C),7.50,,,,,
,https://mgchemicals.com/downloads/tds/tds-8349TFM.pdf,8349TFM-45ML,MG Chemicals,2856.43,"Epoxy, 2 Part",45 ml Jar,,,,,-85°F ~ 248°F (-65°C ~ 120°C),0.90,,,,,
,https://wakefieldthermal.com/content/data_sheets/127-20_WakefieldThermal_rev2.pdf,127-20-10,Wakefield Thermal Solutions,4708.28,Non-Silicone Grease,1 gram Syringe,,,,,-58°F ~ 392°F (-50°C ~ 200°C),20.00,,,,,
,https://tds.henkel.com/tds5/Studio/ShowPDF/?pid=TGF%203600&format=MTR&subformat=HYS&language=EN&plant=WERCS&authorization=2,GF3500S35-00-60-400CC,Bergquist,8861.13,"Liquid Gap Filler, 2 Part",400cc Cartridge,,,,,-76°F ~ 392°F (-60°C ~ 200°C),3.60,,,,,
,http://www.chipquik.com/datasheets/TC1-20G.pdf,TC1-20G,Chip Quik Inc.,420.88,Silicone Compound,20 gram Syringe,,,,,-,0.67,,,,,
,https://www.parker.com/content/dam/Parker-com/Literature/Chomerics/datasheets/Parker-Chomerics-THERM-A-GAP-GEL-35VT-Datasheet-CHODS1061.pdf,65-00-GEL35VT-0010,Parker Chomerics,1045.85,Silicone Gel,10cc Syringe,,,,,-67°F ~ 392°F (-55°C ~ 200°C),3.50,,,,,
