tim_id,type,manufacturer,mpn,description,thermal_conductivity_wmk,thickness_mm,width_mm,length_mm,price_thb,weight_g
,Grease,SparkFun Electronics,09599,Thermal Silicone Compound 5 gram Syringe,1.17,,,,102.7,5.0
,Grease,Chip Quik Inc.,TC3-1G,Thermal Silicone Compound 1 gram Syringe,8.5,,,,193.38,1.0
,Grease,MG Chemicals,8615,Thermal Non-Silicone Grease 3.5 gram Syringe,3.0,,,,212.55,3.5
,Grease,StarTech.com,SILVGREASE1,Thermal Silicone Compound 1.5 gram Syringe,1.93,,,,264.55,1.5
,Grease,Chip Quik Inc.,TC1-10G,Thermal Silicone Compound 10 gram Syringe,0.67,,,,290.88,10.0
,Grease,StarTech.com,HEATGREASE20,Thermal Silicone Compound 20 gram Tube,1.07,,,,301.93,20.0
,Grease,MG Chemicals,8610-60G,Thermal Non-Silicone Compound 2 oz Tube,0.77,,,,371.93,56.7
,Grease,Chip Quik,TC4-1G,Thermal Interface Products Heat Sink Thermal Compound - Deep-Space Liquid Metal 79 W/mK 1g/1cc Syringe,79.0,,,,377.98,1.0
,Grease,Chip Quik Inc.,TC4-1G,"Thermal Thermal Compound, Liquid Metal 1 gram Syringe",79.0,,,,391.95,1.0
,Grease,Chip Quik Inc.,TC1-20G,Thermal Silicone Compound 20 gram Syringe,0.67,,,,420.88,20.0
,Grease,"Boyd Laconia, LLC",250G,Thermal Silicone Compound 2 oz Tube,0.76,,,,441.03,56.7
,Grease,t-Global Technology,TG-N909-30,Thermal Non-Silicone Grease 30 gram Container,9.0,,,,481.65,30.0
,Grease,Chip Quik Inc.,TC3-3.5G,Thermal Silicone Compound 3.5 gram Syringe,8.5,,,,485.88,3.5
,Grease,Chemtronics,CW7270,Thermal Non-Silicone Grease 7 gram Syringe,0.71,,,,504.32,7.0
,Grease,Parker Chomerics,65-00-GREASE15-0010,Thermal Silicone Grease 10cc Syringe,1.5,,,,552.5,25.0
,Grease,Chip Quik,TC4-2G,Thermal Interface Products Heat Sink Thermal Compound - Deep-Space Liquid Metal 79 W/mK 2g/1cc Syringe,79.0,,,,568.1,2.0
,Grease,Chip Quik Inc.,TC4-2G,"Thermal Thermal Compound, Liquid Metal 2 gram Syringe",79.0,,,,575.9,2.0
,Grease,Parker Chomerics,65-00-GREASE30-0010,Thermal Silicone Grease 10cc Syringe,3.0,,,,581.1,25.0
,Grease,Parker Chomerics,65-00-GREASE50-0010,Thermal Silicone Grease 10cc Jar,5.0,,,,610.03,25.0
,Grease,Parker Chomerics,65-00-GREASE70-0010,Thermal Silicone Grease 10cc Syringe,7.0,,,,627.25,25.0
,Grease,Parker Chomerics,65-00-CIP60-0045,"Thermal Silicone Compound, 2 Part 50cc Cartridge",6.0,,,,673.4,125.0
,Grease,Chip Quik Inc.,TC2-10G,Thermal Silicone Compound 10 gram Syringe,4.3,,,,713.38,10.0
,Grease,Chemtronics,CW7250,Thermal Non-Silicone Grease 3.4 gram Syringe,1.85,,,,729.95,3.4
,Grease,Chip Quik Inc.,TC4-5G,"Thermal Thermal Compound, Liquid Metal 5 gram Syringe",79.0,,,,756.28,5.0
,Grease,Chip Quik,TC4-5G,Thermal Interface Products Heat Sink Thermal Compound - Deep-Space Liquid Metal 79 W/mK 5g/1cc Syringe,79.0,,,,758.23,5.0
,Grease,MG Chemicals,8617-85ML,Thermal Non-Silicone Grease 85 ml Tube,1.0,,,,819.87,212.5
,Grease,Bergquist,GF1000-00-15-50CC,"Thermal Liquid Gap Filler, 2 Part 50cc Cartridge",1.0,,,,826.48,125.0
,Grease,"Shiu Li Technology Co., Ltd.",X-PUTTY-100,Thermal Silicone Putty 100 gram Cartridge,3.0,,,,912.93,100.0
,Grease,MG Chemicals,8327GF25-50CC,Thermal Silicone Gap Filler 50 ml Cartridges,2.5,,,,949.11,125.0
,Grease,Parker Chomerics,65-00-GEL37-0010,Thermal Silicone Gel 10cc Syringe,3.7,,,,956.15,25.0
,Grease,"Shiu Li Technology Co., Ltd.",PK223DM-110,"Thermal Liquid Gap Filler, 2 Part 110 gram Cartridge",2.0,,,,1008.15,110.0
,Grease,StarTech.com,SILV5-THERMAL-PASTE,Thermal Silicone Compound 1.5 gram Syringe,3.2,,,,1018.08,1.5
