tim_id,mpn,type,cost_per_app,k_wmk,heatsink_model,threshold_limit_cw,calculated_tim_r_cw,reliability_status,pass_probability_pct,avg_margin_cw,max_t_case_99,manufacturer,description,thickness_mm,log_cost,cluster_id,recommendation_group
GR-0033,09599,Grease,5.95,1.17,ModuleLED_Micro_8680,1.1252,0.094,PASS,100.0,1.0312,70.82,SparkFun Electronics,Thermal Silicone Compound 5 gram Syringe,,1.9387416595767009,0.0,🏆 Best Value
GR-0038,TC3-1G,Grease,55.98,8.5,ModuleLED_Micro_8680,1.1252,0.0129,PASS,100.0,1.1123,66.91,Chip Quik Inc.,Thermal Silicone Compound 1 gram Syringe,,4.0427003290697625,1.0,✅ Standard
GR-0040,8615,Grease,17.58,3.0,ModuleLED_Micro_8680,1.1252,0.0365,PASS,100.0,1.0886,68.06,MG Chemicals,Thermal Non-Silicone Grease 3.5 gram Syringe,,2.922085733385692,0.0,🏆 Best Value
GR-0043,SILVGREASE1,Grease,51.05,1.93,ModuleLED_Micro_8680,1.1252,0.0569,PASS,100.0,1.0683,69.03,StarTech.com,Thermal Silicone Compound 1.5 gram Syringe,,3.952204795060978,1.0,✅ Standard
GR-0044,TC1-10G,Grease,8.42,0.67,ModuleLED_Micro_8680,1.1252,0.1631,PASS,100.0,0.962,74.22,Chip Quik Inc.,Thermal Silicone Compound 10 gram Syringe,,2.2428350885882717,0.0,🏆 Best Value
GR-0046,HEATGREASE20,Grease,4.37,1.07,ModuleLED_Micro_8680,1.1252,0.1024,PASS,100.0,1.0227,71.25,StarTech.com,Thermal Silicone Compound 20 gram Tube,,1.6808279085207734,0.0,🏆 Best Value
GR-0047,8610-60G,Grease,1.9,0.77,ModuleLED_Micro_8680,1.1252,0.1426,PASS,100.0,0.9826,73.18,MG Chemicals,Thermal Non-Silicone Compound 2 oz Tube,,1.0647107369924282,0.0,🏆 Best Value
GR-0048,TC4-1G,Grease,109.41,79.0,ModuleLED_Micro_8680,1.1252,0.0014,PASS,100.0,1.1238,66.35,Chip Quik,Thermal Interface Products Heat Sink Thermal Compound - Deep-Space Liquid Metal 79 W/mK 1g/1cc Syringe,,4.704200709451046,1.0,✅ Standard
GR-0049,TC4-1G,Grease,113.46,79.0,ModuleLED_Micro_8680,1.1252,0.0014,PASS,100.0,1.1238,66.35,Chip Quik Inc.,"Thermal Thermal Compound, Liquid Metal 1 gram Syringe",,4.740225416980956,1.0,✅ Standard
GR-0050,TC1-20G,Grease,6.09,0.67,ModuleLED_Micro_8680,1.1252,0.164,PASS,100.0,0.9612,74.24,Chip Quik Inc.,Thermal Silicone Compound 20 gram Syringe,,1.958685340544036,0.0,🏆 Best Value
GR-0052,250G,Grease,2.25,0.76,ModuleLED_Micro_8680,1.1252,0.1441,PASS,100.0,0.9811,73.29,"Boyd Laconia, LLC",Thermal Silicone Compound 2 oz Tube,,1.1786549963416462,0.0,🏆 Best Value
GR-0056,TG-N909-30,Grease,4.65,9.0,ModuleLED_Micro_8680,1.1252,0.0122,PASS,100.0,1.1129,66.88,t-Global Technology,Thermal Non-Silicone Grease 30 gram Container,,1.7316555451583497,0.0,🏆 Best Value
GR-0057,TC3-3.5G,Grease,40.18,8.5,ModuleLED_Micro_8680,1.1252,0.0129,PASS,100.0,1.1122,66.92,Chip Quik Inc.,Thermal Silicone Compound 3.5 gram Syringe,,3.717952701599643,1.0,✅ Standard
GR-0061,CW7270,Grease,20.85,0.71,ModuleLED_Micro_8680,1.1252,0.1552,PASS,100.0,0.97,73.76,Chemtronics,Thermal Non-Silicone Grease 7 gram Syringe,,3.084200921541599,0.0,🏆 Best Value
GR-0067,65-00-GREASE15-0010,Grease,6.4,1.5,ModuleLED_Micro_8680,1.1252,0.0734,PASS,100.0,1.0517,69.83,Parker Chomerics,Thermal Silicone Grease 10cc Syringe,,2.0014800002101243,0.0,🏆 Best Value
GR-0068,TC4-2G,Grease,82.22,79.0,ModuleLED_Micro_8680,1.1252,0.0014,PASS,100.0,1.1238,66.35,Chip Quik,Thermal Interface Products Heat Sink Thermal Compound - Deep-Space Liquid Metal 79 W/mK 2g/1cc Syringe,,4.421487703554795,1.0,✅ Standard
GR-0069,TC4-2G,Grease,83.35,79.0,ModuleLED_Micro_8680,1.1252,0.0014,PASS,100.0,1.1238,66.35,Chip Quik Inc.,"Thermal Thermal Compound, Liquid Metal 2 gram Syringe",,4.434974808991977,1.0,✅ Standard
GR-0070,65-00-GREASE30-0010,Grease,6.73,3.0,ModuleLED_Micro_8680,1.1252,0.0365,PASS,100.0,1.0887,68.06,Parker Chomerics,Thermal Silicone Grease 10cc Syringe,,2.0451088625993306,0.0,🏆 Best Value
GR-0074,65-00-GREASE50-0010,Grease,7.06,5.0,ModuleLED_Micro_8680,1.1252,0.022,PASS,100.0,1.1031,67.35,Parker Chomerics,Thermal Silicone Grease 10cc Jar,,2.086913556518537,0.0,🏆 Best Value
GR-0075,65-00-GREASE70-0010,Grease,7.26,7.0,ModuleLED_Micro_8680,1.1252,0.0156,PASS,100.0,1.1095,67.05,Parker Chomerics,Thermal Silicone Grease 10cc Syringe,,2.1114245875328868,0.0,🏆 Best Value
GR-0078,65-00-CIP60-0045,Grease,1.56,6.0,ModuleLED_Micro_8680,1.1252,0.0184,PASS,100.0,1.1068,67.18,Parker Chomerics,"Thermal Silicone Compound, 2 Part 50cc Cartridge",,0.9400072584914712,0.0,🏆 Best Value
GR-0080,TC2-10G,Grease,20.65,4.3,ModuleLED_Micro_8680,1.1252,0.0254,PASS,100.0,1.0997,67.52,Chip Quik Inc.,Thermal Silicone Compound 10 gram Syringe,,3.075005454448499,0.0,🏆 Best Value
GR-0086,CW7250,Grease,62.15,1.85,ModuleLED_Micro_8680,1.1252,0.0593,PASS,100.0,1.0658,69.16,Chemtronics,Thermal Non-Silicone Grease 3.4 gram Syringe,,4.1455128487965,1.0,✅ Standard
GR-0087,TC4-5G,Grease,43.78,79.0,ModuleLED_Micro_8680,1.1252,0.0014,PASS,100.0,1.1238,66.35,Chip Quik Inc.,"Thermal Thermal Compound, Liquid Metal 5 gram Syringe",,3.8017616111706087,1.0,✅ Standard
GR-0088,TC4-5G,Grease,43.9,79.0,ModuleLED_Micro_8680,1.1252,0.0014,PASS,100.0,1.1238,66.35,Chip Quik,Thermal Interface Products Heat Sink Thermal Compound - Deep-Space Liquid Metal 79 W/mK 5g/1cc Syringe,,3.8044377947482086,1.0,✅ Standard
GR-0091,8617-85ML,Grease,1.12,1.0,ModuleLED_Micro_8680,1.1252,0.1096,PASS,100.0,1.0156,71.6,MG Chemicals,Thermal Non-Silicone Grease 85 ml Tube,,0.7514160886839212,0.0,🏆 Best Value
GR-0092,GF1000-00-15-50CC,Grease,1.91,1.0,ModuleLED_Micro_8680,1.1252,0.1095,PASS,100.0,1.0156,71.59,Bergquist,"Thermal Liquid Gap Filler, 2 Part 50cc Cartridge",,1.068153081183401,0.0,🏆 Best Value
GR-0096,X-PUTTY-100,Grease,2.64,3.0,ModuleLED_Micro_8680,1.1252,0.0365,PASS,100.0,1.0886,68.06,"Shiu Li Technology Co., Ltd.",Thermal Silicone Putty 100 gram Cartridge,,1.2919836816486494,0.0,🏆 Best Value
