MPN,Manufacturer,Category,Description,Thermal_Conductivity,Thickness,Width,Length,Price_THB,source_file
06450-M,Qualtek,"Fans, Blowers, Thermal Management",120mm Sq Fan Filter/Screen Aluminum Washable in solvent or degreaser,,120 mm,,,86.78,digikey_tim_data.csv
DV-T263-101E-TR,Ohmite,"Fans, Blowers, Thermal Management",Heat Sink TO-263 (D²Pak) Aluminum 2.0W @ 30°C Top Mount,,"0.400"" (10.16mm)","1.020"" (25.91mm)","0.500"" (12.70mm)",93.93,digikey_tim_data.csv
06250-SS,Qualtek,"Fans, Blowers, Thermal Management",60mm Sq Fan Filter/Screen Stainless Steel Washable in solvent or degreaser,,60 mm,,,97.83,digikey_tim_data.csv
WV-T247-101E,Ohmite,"Fans, Blowers, Thermal Management","Heat Sink TO-247 Aluminum 1.0W @ 20°C Board Level, Vertical",,"0.630"" (16.00mm)","0.921"" (23.40mm)","1.260"" (32.00mm)",104.33,digikey_tim_data.csv
TC3-1G,Chip Quik Inc.,"Fans, Blowers, Thermal Management",Thermal Silicone Compound 1 gram Syringe,8.50W/m-K,,,,193.38,digikey_tim_data.csv
TC1-10G,Chip Quik Inc.,"Fans, Blowers, Thermal Management",Thermal Silicone Compound 10 gram Syringe,0.67W/m-K,,,,290.88,digikey_tim_data.csv
250G,"Boyd Laconia, LLC","Fans, Blowers, Thermal Management",Thermal Silicone Compound 2 oz Tube,0.76W/m-K,,,,441.03,digikey_tim_data.csv
TG-N909-30,t-Global Technology,"Fans, Blowers, Thermal Management",Thermal Non-Silicone Grease 30 gram Container,9.00W/m-K,,,,481.65,digikey_tim_data.csv
CW7270,Chemtronics,"Fans, Blowers, Thermal Management",Thermal Non-Silicone Grease 7 gram Syringe,0.71W/m-K,,,,504.32,digikey_tim_data.csv
CW7250,Chemtronics,"Fans, Blowers, Thermal Management",Thermal Non-Silicone Grease 3.4 gram Syringe,1.85W/m-K,,,,729.95,digikey_tim_data.csv
9460TC-3ML,MG Chemicals,"Fans, Blowers, Thermal Management",Thermal Epoxy Adhesive 3 ml Syringe,0.80W/m-K,,,,832.98,digikey_tim_data.csv
846-80G,MG Chemicals,"Fans, Blowers, Thermal Management",Thermal Silicone Grease 2.8 oz Container,-,,,,1068.6,digikey_tim_data.csv
CT40-5,Chemtronics,"Fans, Blowers, Thermal Management",Thermal Silicone Compound 5 oz Tube,0.63W/m-K,,,,1118.33,digikey_tim_data.csv
GF1500-00-60-50CC,Bergquist,"Fans, Blowers, Thermal Management","Thermal Liquid Gap Filler, 2 Part 50cc Cartridge",1.80W/m-K,,,,1129.05,digikey_tim_data.csv
8329TCS-6ML,MG Chemicals,"Fans, Blowers, Thermal Management","Thermal Epoxy, 2 Part 6 ml Syringe",1.40W/m-K,,,,1144.65,digikey_tim_data.csv
1978-DP,Techspray,"Fans, Blowers, Thermal Management",Thermal Non-Silicone Compound 4 oz Tube,-,,,,1213.55,digikey_tim_data.csv
TC3-10G,Chip Quik Inc.,"Fans, Blowers, Thermal Management",Thermal Silicone Compound 5cc Syringe,8.50W/m-K,,,,1233.38,digikey_tim_data.csv
8329TFS-25ML,MG Chemicals,"Fans, Blowers, Thermal Management","Thermal Epoxy, 2 Part 25 ml Syringe",1.20W/m-K,,,,1625.98,digikey_tim_data.csv
GF3500S35-07-60-50CC,Bergquist,"Fans, Blowers, Thermal Management","Thermal Liquid Gap Filler, 2 Part 50cc Cartridge",3.60W/m-K,,,,1674.4,digikey_tim_data.csv
GF3500S35-00-60-50CC,Bergquist,"Fans, Blowers, Thermal Management","Thermal Liquid Gap Filler, 2 Part 50cc Cartridge",3.60W/m-K,,,,1753.7,digikey_tim_data.csv
TC4-20G,Chip Quik Inc.,"Fans, Blowers, Thermal Management","Thermal Thermal Compound, Liquid Metal 20 gram Syringe",79.00 W/m-K,,,,1799.2,digikey_tim_data.csv
65-00-GEL75-0010,Parker Chomerics,"Fans, Blowers, Thermal Management",Thermal Silicone Gel 10cc Syringe,7.50W/m-K,,,,1982.83,digikey_tim_data.csv
ATS-EXL77-300-R0,Advanced Thermal Solutions Inc.,"Fans, Blowers, Thermal Management","Heat Sink Aluminum Top Mount, Extrusion",,"0.654"" (16.60mm)","4.754"" (120.75mm)","11.811"" (300.00mm)",2136.23,digikey_tim_data.csv
ATS-EXL98-300-R0,Advanced Thermal Solutions Inc.,"Fans, Blowers, Thermal Management","Heat Sink Aluminum Top Mount, Extrusion",,"1.417"" (36.00mm)","4.724"" (120.00mm)","11.811"" (300.00mm)",2183.03,digikey_tim_data.csv
CW7100,Chemtronics,"Fans, Blowers, Thermal Management",Thermal Silicone Grease 6.5 gram Syringe,5.60W/m-K,,,,2210.65,digikey_tim_data.csv
8329TFS-50ML,MG Chemicals,"Fans, Blowers, Thermal Management","Thermal Epoxy, 2 Part 45 ml Cartridge",1.20W/m-K,,,,2318.88,digikey_tim_data.csv
8329TCS-50ML,MG Chemicals,"Fans, Blowers, Thermal Management","Thermal Epoxy, 2 Part 50 ml Jar",1.40W/m-K,,,,2411.83,digikey_tim_data.csv
65-02-GEL75-0030,Parker Chomerics,"Fans, Blowers, Thermal Management",Thermal Silicone Gel 30cc Syringe,7.50W/m-K,,,,2652.33,digikey_tim_data.csv
1978-1,Techspray,"Fans, Blowers, Thermal Management",Thermal Non-Silicone Compound 1 lb Can,-,,,,2654.93,digikey_tim_data.csv
