reliability_status,pass_probability_pct,avg_margin_cw,tim_id,mpn,type,heatsink_model,heatsink_r_th,calculated_tim_r_cw,threshold_limit_cw,max_t_case_99,cost_per_app,k_wmk,thickness_mm,manufacturer,description
PASS,100.0,1.0315,GR-0001,09599,Grease,ModuleLED_Micro_8680,1.2,0.0936,1.1252,70.83,5.95,1.17,,SparkFun Electronics,Thermal Silicone Compound 5 gram Syringe
PASS,100.0,1.1123,GR-0002,TC3-1G,Grease,ModuleLED_Micro_8680,1.2,0.0129,1.1252,66.91,55.98,8.5,,Chip Quik Inc.,Thermal Silicone Compound 1 gram Syringe
PASS,100.0,1.0886,GR-0003,8615,Grease,ModuleLED_Micro_8680,1.2,0.0366,1.1252,68.06,17.58,3.0,,MG Chemicals,Thermal Non-Silicone Grease 3.5 gram Syringe
PASS,100.0,1.0685,GR-0004,SILVGREASE1,Grease,ModuleLED_Micro_8680,1.2,0.0567,1.1252,69.03,51.05,1.93,,StarTech.com,Thermal Silicone Compound 1.5 gram Syringe
PASS,100.0,0.9617,GR-0005,TC1-10G,Grease,ModuleLED_Micro_8680,1.2,0.1635,1.1252,74.21,8.42,0.67,,Chip Quik Inc.,Thermal Silicone Compound 10 gram Syringe
PASS,100.0,1.0225,GR-0006,HEATGREASE20,Grease,ModuleLED_Micro_8680,1.2,0.1026,1.1252,71.27,4.37,1.07,,StarTech.com,Thermal Silicone Compound 20 gram Tube
PASS,100.0,0.9824,GR-0007,8610-60G,Grease,ModuleLED_Micro_8680,1.2,0.1428,1.1252,73.2,1.9,0.77,,MG Chemicals,Thermal Non-Silicone Compound 2 oz Tube
PASS,100.0,1.1238,GR-0008,TC4-1G,Grease,ModuleLED_Micro_8680,1.2,0.0014,1.1252,66.35,109.41,79.0,,Chip Quik,Thermal Interface Products Heat Sink Thermal Compound - Deep-Space Liquid Metal 79 W/mK 1g/1cc Syringe
PASS,100.0,1.1238,GR-0009,TC4-1G,Grease,ModuleLED_Micro_8680,1.2,0.0014,1.1252,66.35,113.46,79.0,,Chip Quik Inc.,"Thermal Thermal Compound, Liquid Metal 1 gram Syringe"
PASS,100.0,0.9614,GR-0010,TC1-20G,Grease,ModuleLED_Micro_8680,1.2,0.1638,1.1252,74.24,6.09,0.67,,Chip Quik Inc.,Thermal Silicone Compound 20 gram Syringe
