MPN,Manufacturer,Category,Description,Thermal_Conductivity,Thickness,Width,Length,Price_THB
06450-M,Qualtek,"Fans, Blowers, Thermal Management",120mm Sq Fan Filter/Screen Aluminum Washable in solvent or degreaser,,120 mm,,,84.11
DV-T263-201E-TR,Ohmite,"Fans, Blowers, Thermal Management",Heat Sink TO-263 (D²Pak) Aluminum 2.0W @ 30°C Top Mount,,"0.480"" (12.19mm)","1.020"" (25.91mm)","0.500"" (12.70mm)",89.78
DV-T263-101E-TR,Ohmite,"Fans, Blowers, Thermal Management",Heat Sink TO-263 (D²Pak) Aluminum 2.0W @ 30°C Top Mount,,"0.400"" (10.16mm)","1.020"" (25.91mm)","0.500"" (12.70mm)",91.04
WV-T247-101E,Ohmite,"Fans, Blowers, Thermal Management","Heat Sink TO-247 Aluminum 1.0W @ 20°C Board Level, Vertical",,"0.630"" (16.00mm)","0.921"" (23.40mm)","1.260"" (32.00mm)",101.12
06325-SS,Qualtek,"Fans, Blowers, Thermal Management",80mm Sq Fan Filter/Screen Stainless Steel Washable in solvent or degreaser,,80 mm,,,107.42
06450-SS,Qualtek,"Fans, Blowers, Thermal Management",120mm Sq Fan Filter/Screen Stainless Steel Washable in solvent or degreaser,,120 mm,,,148.05
C247-025-1VE,Ohmite,"Fans, Blowers, Thermal Management","Heat Sink TO-247 Aluminum 5.0W @ 60°C Board Level, Vertical",,"0.710"" (18.03mm)","1.500"" (38.10mm)","0.984"" (25.00mm)",179.24
TC3-1G,Chip Quik Inc.,"Fans, Blowers, Thermal Management",Thermal Silicone Compound 1 gram Syringe,8.50W/m-K,,,,187.43
TC1-10G,Chip Quik Inc.,"Fans, Blowers, Thermal Management",Thermal Silicone Compound 10 gram Syringe,0.67W/m-K,,,,281.93
250G,"Boyd Laconia, LLC","Fans, Blowers, Thermal Management",Thermal Silicone Compound 2 oz Tube,0.76W/m-K,,,,427.46
TG-N909-30,t-Global Technology,"Fans, Blowers, Thermal Management",Thermal Non-Silicone Grease 30 gram Container,9.00W/m-K,,,,466.83
CW7270,Chemtronics,"Fans, Blowers, Thermal Management",Thermal Non-Silicone Grease 7 gram Syringe,0.71W/m-K,,,,543.06
CW7250,Chemtronics,"Fans, Blowers, Thermal Management",Thermal Non-Silicone Grease 3.4 gram Syringe,1.85W/m-K,,,,707.18
GF1000-00-15-50CC,Bergquist,"Fans, Blowers, Thermal Management","Thermal Liquid Gap Filler, 2 Part 50cc Cartridge",1.00W/m-K,,,,801.05
120-8,Wakefield Thermal Solutions,"Fans, Blowers, Thermal Management",Thermal Silicone Compound 8 oz Jar,0.73W/m-K,,,,965.16
GF1500-00-60-50CC,Bergquist,"Fans, Blowers, Thermal Management","Thermal Liquid Gap Filler, 2 Part 50cc Cartridge",1.80W/m-K,,,,984.69
