MPN,Manufacturer,Category,Description,Thermal_Conductivity,Thickness,Width,Length,Price_THB
HEATGREASE20,StarTech,Fan Accessories,Fan Accessories 20g Silicone Thermal CPU Paste Tube,,,,,298.62
SILVGREASE1,StarTech,Thermal Interface Products,Thermal Interface Products Metal Oxide Thermal CPU Paste Grease,,,,,262.71
SILVGREASE10-PRO,StarTech,Thermal Interface Products,"Thermal Interface Products High-Performance Silicone Thermal Paste, Compound/Grease for CPU/GPU/Processor",,,,,992.25
Q3-0.005-AC-1212,Bergquist Company,Thermal Interface Products,"Thermal Interface Products Sil-Pad, Grease TI, 0.005"" Thickness, 1 Side Adhesive",,,,,455.81
Q3-0.005-00-1212,Bergquist Company,Thermal Interface Products,"Thermal Interface Products Grease TI, 12""x12"" Sheet, 0.005"" Thickness, Sil-Pad TSPQ2000/Q-Pad 3",,,,,466.52
Q3-0.005-00-54,Bergquist Company,Thermal Interface Products,"Thermal Interface Products Grease TI, 0.005"" Thickness, 0.750x0.500x0.187x0.147"", Sil-Pad TSPQ2000/Q-Pad 3",,,0.750 mm,0.500 mm,25.83
Q3-0.005-AC-47,Bergquist Company,Thermal Interface Products,"Thermal Interface Products Grease TI, 0.005"" Thickness, 1 Side Adhesive, Sil-Pad TSPQ2000/Q-Pad 3",,,,,13.23
Q3-0.005-00-114,Bergquist Company,Thermal Interface Products,"Thermal Interface Products Grease TI, 0.005"" Thickness, Sil-Pad TSPQ2000/Q-Pad 3, BG427925, IDH 2191526",,,,,20.79
Q3-0.005-00-48,Bergquist Company,Thermal Interface Products,"Thermal Interface Products Grease TI, 0.005"" Thickness, 1.00x1.00x0.187"", Sil-Pad TSPQ2000/Q-Pad 3",,,1.00 mm,1.00 mm,10.08
Q3-0.005-00-90,Bergquist Company,Thermal Interface Products,"Thermal Interface Products Grease TI, 0.005"" Thickness, 0.860x0.740x0.200x0.160"", Sil-Pad TSPQ2000/Q-Pad 3",,,0.860 mm,0.740 mm,16.38
A14259-01,Laird Technologies,Thermal Interface Products,Thermal Interface Products Tgrease 2500 1kg 3.8W/mK Sil Free,3.8 W/m-K,,,,10076.85
SANG-CNN090,Littelfuse,Relay Sockets & Fixings,"Relay Sockets & Fixings SSR Accessory, Thermal Grease CL",,,,,1431.36
A17250-02,Laird Technologies,Thermal Interface Products,Thermal Interface Products TPUTTY 607 20KG 5GAL,,,,,151189.29
175-6-280P,Wakefield Thermal,Thermal Interface Products,"Thermal Interface Products Greaseless Conductive Kapton Reinforced Insulators for TO-220, 0.006"", Grey",,,,,30.87
A18560-09,Laird Technologies,Thermal Interface Products,Thermal Interface Products Tputty 910 - 30cc cartridge,,,,,3974.99
